country_code,region_name,iata,airport
AU,Northern Territory,GPN,Garden Point Airport
AU,Northern Territory,GTE,Groote Eylandt Airport
AU,Northern Territory,GTS,The Granites Airport
AU,Northern Territory,HMG,Hermannsburg Airport
AU,Northern Territory,HOK,Hooker Creek Airport
AU,Northern Territory,HRY,Henbury Airport
AU,Northern Territory,HUB,Humbert River Airport
AU,Northern Territory,IVW,Inverway Airport
AU,Northern Territory,JAB,Jabiru Airport
AU,Northern Territory,KBB,Kirkimbie Airport
AU,Northern Territory,KBJ,Kings Canyon Airport
AU,Northern Territory,KCS,Kings Creek Station Airport
AU,Northern Territory,KFG,Kalkgurung Airport
AU,Northern Territory,KGR,Kulgera Airport
AU,Northern Territory,KRD,Kurundi Airport
AU,Northern Territory,KTR,RAAF Base Tindal
AU,Northern Territory,LEL,Lake Evella Airport
AU,Northern Territory,LIB,Limbunya Airport
AU,Northern Territory,LNH,Lake Nash Airport
AU,Northern Territory,MCV,McArthur River Mine Airport
AU,Northern Territory,MFP,Manners Creek Airport
AU,Northern Territory,MGT,Milingimbi Airport
AU,Northern Territory,MIY,Mittiebah Airport
AU,Northern Territory,MIZ,Mainoru Airport
AU,Northern Territory,MKV,Mount Cavenagh Airport
AU,Northern Territory,MNG,Maningrida Airport
AU,Northern Territory,MNV,Mount Valley Airport
AU,Northern Territory,MNW,MacDonald Downs Airport
AU,Northern Territory,MQE,Marqua Airport
AU,Northern Territory,MRT,Moroak Airport
AU,Northern Territory,MSF,Mount Swan Airport
AU,Northern Territory,MTD,Mount Sandford Station Airport
AU,Northern Territory,MUP,Mulga Park Airport
AU,Northern Territory,NPP,Napperby Airport
AU,Northern Territory,NRY,Newry Airport
AU,Northern Territory,NUB,Numbulwar Airport
AU,Northern Territory,PEP,Peppimenarti Airport
AU,Northern Territory,PKT,Port Keats Airfield
AU,Northern Territory,RAM,Ramingining Airport
AU,Northern Territory,RDA,Rockhampton Downs Airport
